Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR
20/03/05,Stuttgart,Freiburg,1,0,H,1,0,H,16,6,16,23,7,5,1,2,0,0
02/04/05,Bielefeld,Leverkusen,1,0,H,0,0,D,12,12,17,24,8,5,1,2,0,0
02/04/05,Freiburg,Hamburg,1,1,D,1,1,D,12,18,22,25,2,3,3,3,0,1
02/04/05,Hansa Rostock,Mainz,2,0,H,1,0,H,8,15,21,16,2,6,2,1,0,0
02/04/05,Kaiserslautern,Hannover,0,2,A,0,0,D,18,8,21,19,8,1,2,2,0,0
02/04/05,Schalke 04,Nurnberg,4,1,H,3,0,H,19,9,9,16,7,4,1,2,0,0
02/04/05,Werder Bremen,Stuttgart,1,2,A,0,0,D,13,6,19,26,6,3,3,4,1,0
02/04/05,Wolfsburg,Bayern Munich,0,3,A,0,2,A,8,10,19,16,8,2,2,1,0,0
03/04/05,Dortmund,Hertha,2,1,H,2,0,H,16,16,12,14,4,7,1,0,0,0
03/04/05,M'gladbach,Bochum,2,2,D,1,0,H,14,22,21,28,10,6,2,4,0,0
09/04/05,Bayern Munich,M'gladbach,2,1,H,0,0,D,22,6,17,15,4,2,2,3,0,1
09/04/05,Bochum,Hannover,1,0,H,0,0,D,15,6,26,16,1,2,1,1,0,0
09/04/05,Hamburg,Werder Bremen,1,2,A,0,1,A,14,16,23,29,8,3,4,3,0,0
09/04/05,Hertha,Freiburg,3,1,H,2,0,H,13,15,12,17,8,3,1,1,0,0
09/04/05,Leverkusen,Dortmund,0,1,A,0,0,D,14,15,19,17,4,5,2,1,0,0
09/04/05,Mainz,Wolfsburg,0,2,A,0,0,D,19,12,18,18,7,8,2,2,0,0
09/04/05,Stuttgart,Schalke 04,3,0,H,1,0,H,7,9,11,17,3,4,1,5,0,1
10/04/05,Bielefeld,Kaiserslautern,0,2,A,0,2,A,19,16,15,31,7,7,2,2,0,0
10/04/05,Nurnberg,Hansa Rostock,3,0,H,0,0,D,17,14,26,23,4,4,5,0,0,0
16/04/05,Dortmund,Bielefeld,1,1,D,1,0,H,14,9,22,12,4,7,3,4,0,0
16/04/05,Freiburg,Leverkusen,1,3,A,1,1,D,16,14,17,17,3,4,3,3,0,0
16/04/05,Hannover,Bayern Munich,0,1,A,0,0,D,8,17,12,9,2,8,1,1,0,0
16/04/05,Hansa Rostock,Stuttgart,2,1,H,1,0,H,10,6,23,20,5,4,4,5,0,0
16/04/05,M'gladbach,Mainz,1,1,D,0,0,D,8,16,20,21,4,2,2,0,0,0
16/04/05,Schalke 04,Hamburg,1,2,A,1,0,H,13,12,27,28,2,3,6,2,0,0
16/04/05,Werder Bremen,Hertha,0,1,A,0,1,A,19,9,18,20,11,2,0,1,0,0
17/04/05,Kaiserslautern,Bochum,1,2,A,0,1,A,24,15,20,18,9,9,2,4,0,0
17/04/05,Wolfsburg,Nurnberg,0,1,A,0,0,D,14,11,18,22,6,5,2,3,0,0
23/04/05,Bayern Munich,Bochum,3,1,H,2,0,H,22,9,13,9,7,4,1,1,0,1
